Id,Label
0,"(0, None, None)"
7697,"(1, 'Повышение', '55338_41')"
2,"(220, 'Повышение', '55338_41')"
3,"(228, 'Повышение', '55338_41')"
4,"(1460, 'Повышение', '55338_41')"
5,"(149, 'Повышение', '55338_41')"
6,"(823, 'Повышение', '55338_41')"
7698,"(2, 'АД', '55338_41')"
7,"(242, 'АД', '55338_41')"
8,"(590, 'АД', '55338_41')"
7699,"(3, 'отмечает', '55338_41')"
9,"(120, 'отмечает', '55338_41')"
10,"(1329, 'отмечает', '55338_41')"
11,"(122, 'отмечает', '55338_41')"
7700,"(4, 'с', '55338_41')"
12,"(32, 'с', '55338_41')"
7701,"(2, '25', '55338_41')"
7702,"(6, 'лет', '55338_41')"
13,"(73, 'лет', '55338_41')"
14,"(66, 'лет', '55338_41')"
15,"(532, 'лет', '55338_41')"
7703,"(7, 'максимальные', '55338_41')"
16,"(1563, 'максимальные', '55338_41')"
7704,"(8, 'цифры', '55338_41')"
17,"(242, 'цифры', '55338_41')"
7705,"(2, 'АД', '55338_41')"
18,"(242, 'АД', '55338_41')"
19,"(590, 'АД', '55338_41')"
7706,"(2, '180/100', '55338_41')"
7707,"(9, 'мм.рт.ст', '55338_41')"
20,"(10, 'мм.рт.ст', '55338_41')"
21,"(1497, 'мм.рт.ст', '55338_41')"
22,"(23, 'мм.рт.ст', '55338_41')"
23,"(590, 'мм.рт.ст', '55338_41')"
24,"(1263, 'мм.рт.ст', '55338_41')"
7708,"(10, 'адаптирован', '55338_41')"
7709,"(11, 'к', '55338_41')"
25,"(50, 'к', '55338_41')"
7710,"(8, 'цифрам', '55338_41')"
26,"(242, 'цифрам', '55338_41')"
7711,"(2, '120\\90', '55338_41')"
7712,"(9, 'мм.рт.ст', '55338_41')"
27,"(10, 'мм.рт.ст', '55338_41')"
28,"(1497, 'мм.рт.ст', '55338_41')"
29,"(23, 'мм.рт.ст', '55338_41')"
30,"(590, 'мм.рт.ст', '55338_41')"
31,"(1263, 'мм.рт.ст', '55338_41')"
8721,"(12, 'Последний', '58401_7')"
8722,"(6, 'год', '58401_7')"
32,"(73, 'год', '58401_7')"
33,"(66, 'год', '58401_7')"
34,"(532, 'год', '58401_7')"
8723,"(3, 'отмечает', '58401_7')"
35,"(120, 'отмечает', '58401_7')"
36,"(1329, 'отмечает', '58401_7')"
37,"(122, 'отмечает', '58401_7')"
8724,"(1, 'повышения', '58401_7')"
38,"(220, 'повышения', '58401_7')"
39,"(228, 'повышения', '58401_7')"
40,"(1460, 'повышения', '58401_7')"
41,"(149, 'повышения', '58401_7')"
42,"(823, 'повышения', '58401_7')"
8725,"(2, 'АД', '58401_7')"
43,"(242, 'АД', '58401_7')"
44,"(590, 'АД', '58401_7')"
8726,"(13, 'максимально', '58401_7')"
45,"(1560, 'максимально', '58401_7')"
8727,"(14, 'до', '58401_7')"
46,"(121, 'до', '58401_7')"
47,"(70, 'до', '58401_7')"
8728,"(2, '160/100', '58401_7')"
8729,"(15, 'мм', '58401_7')"
8730,"(16, 'рт.ст', '58401_7')"
48,"(807, 'рт.ст', '58401_7')"
49,"(141, 'рт.ст', '58401_7')"
50,"(122, 'рт.ст', '58401_7')"
51,"(153, 'рт.ст', '58401_7')"
52,"(120, 'рт.ст', '58401_7')"
8731,"(17, 'субъективно', '58401_7')"
8732,"(18, 'не', '58401_7')"
53,"(828, 'не', '58401_7')"
8733,"(19, 'ощущает', '58401_7')"
54,"(608, 'ощущает', '58401_7')"
83,"(1563, 'повышения', '58401_7')"
84,"(1564, 'повышения', '58401_7')"
85,"(1565, 'повышения', '58401_7')"
86,"(1566, 'повышения', '58401_7')"
87,"(1567, 'повышения', '58401_7')"
88,"(1568, 'повышения', '58401_7')"
89,"(1569, 'повышения', '58401_7')"
90,"(1570, 'повышения', '58401_7')"
91,"(1571, 'повышения', '58401_7')"
92,"(1572, 'повышения', '58401_7')"
93,"(1573, 'повышения', '58401_7')"
94,"(1574, 'повышения', '58401_7')"
95,"(1575, 'повышения', '58401_7')"
96,"(1576, 'повышения', '58401_7')"
97,"(1577, 'повышения', '58401_7')"
98,"(1578, 'повышения', '58401_7')"
99,"(1579, 'повышения', '58401_7')"
100,"(1580, 'повышения', '58401_7')"
101,"(1581, 'повышения', '58401_7')"
102,"(1563, 'Повышение', '55338_41')"
103,"(1564, 'Повышение', '55338_41')"
104,"(1565, 'Повышение', '55338_41')"
105,"(1566, 'Повышение', '55338_41')"
106,"(1567, 'Повышение', '55338_41')"
107,"(1568, 'Повышение', '55338_41')"
108,"(1569, 'Повышение', '55338_41')"
109,"(1570, 'Повышение', '55338_41')"
110,"(1571, 'Повышение', '55338_41')"
111,"(1572, 'Повышение', '55338_41')"
112,"(1573, 'Повышение', '55338_41')"
113,"(1574, 'Повышение', '55338_41')"
114,"(1575, 'Повышение', '55338_41')"
115,"(1576, 'Повышение', '55338_41')"
116,"(1577, 'Повышение', '55338_41')"
117,"(1578, 'Повышение', '55338_41')"
118,"(1579, 'Повышение', '55338_41')"
119,"(1580, 'Повышение', '55338_41')"
120,"(1581, 'Повышение', '55338_41')"
121,"(1582, 'мм.рт.ст', '55338_41')"
122,"(1583, 'цифрам', '55338_41')"
