1	на	на	S	S	Sp-l	3	обст
2	ЭКГ	экг	N	N	Npfsln	1	предл
3	была	быть	V	V	Vmis-sfa-p	0	ROOT
4	зафиксирована	зафиксировать	V	V	Vmps-sfpse	3	пасс-анал
5	постоянная	постоянный	A	A	Afpfsnf	6	опред
6	форма	форма	N	N	Ncfsnn	3	предик
7	фибрилляция	фибрилляция	N	N	Ncfsnn	6	квазиагент
8	сердца	сердце	N	N	Ncnsgn	7	квазиагент
9	,	,	,	,	,	8	PUNC
10	назначена	назначить	V	V	Vmps-sfpse	6	опред
11	терапия	терапия	N	N	Ncfsnn	10	1-компл
12	дигоксином	дигоксин	N	N	Ncmpin	11	сочин
13	,	,	,	,	,	12	PUNC
14	диуретиками	диуретик	N	N	Ncmpin	12	сочин
15	,	,	,	,	,	14	PUNC
16	пациент	пациент	N	N	Ncmsny	17	предик
17	отмечал	отмечать	V	V	Vmis-sma-p	3	сент-соч
18	некоторое	некоторый	P	P	P--nsaa	19	опред
19	улучшение	улучшение	N	N	Ncnsan	17	1-компл
20	состояния	состояние	N	N	Ncnsgn	19	1-компл

